Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
Property 17,A nice property,63 Lac,6372937,Ludhiana,1072 sqft,Under Construction,7,Ready to Move,Furnished,South,Main Road,Society 47,3.0,1.0,1.0,Leasehold,1575 sqft,NA,4943 sqft
Property 18,A nice property,90 Lac,9049773,Mumbai,3980 sqft,Under Construction,8,Under Construction,Semi-Furnished,West,Park,Society 25,,1.0,2.0,Freehold,1788 sqft,NA,3974 sqft
Property 19,A nice property,37 Lac,3724524,Vadodara,4012 sqft,Resale,Ground,Ready to Move,Semi-Furnished,North,Park,Society 11,2.0,,3.0,Freehold,1291 sqft,NA,1893 sqft
Property 20,A nice property,27 Lac,2725046,Kolkata,4941 sqft,Resale,18,Ready to Move,Semi-Furnished,East,Main Road,Society 26,1.0,1.0,2.0,Freehold,4708 sqft,NA,NA
Property 21,A nice property,24 Lac,2442231,Vadodara,1698 sqft,Resale,17,Ready to Move,Semi-Furnished,South,Park,Society 1,3.0,3.0,1.0,Leasehold,5023 sqft,NA,4328 sqft
Property 22,A nice property,32 Lac,3293783,Surat,3781 sqft,Under Construction,Ground,Ready to Move,Furnished,West,Park,Society 34,4.0,2.0,1.0,Freehold,1628 sqft,NA,3707 sqft
Property 23,A nice property,51 Lac,5193120,Ahmedabad,2589 sqft,Under Construction,23,Ready to Move,Furnished,South,NA,NA,1.0,0.0,3.0,Freehold,4368 sqft,NA,3500 sqft
Property 24,A nice property,32 Lac,3282494,Chandigarh,2688 sqft,Ready,4,Ready to Move,Unfurnished,East,Park,NA,2.0,0.0,2.0,Freehold,838 sqft,NA,3354 sqft
Property 25,A nice property,39 Lac,3950142,Ghaziabad,2265 sqft,Ready,3,Ready to Move,Furnished,North,NA,Society 30,4.0,,,Freehold,3226 sqft,NA,NA
Property 26,A nice property,56 Lac,5696534,Jaipur,3305 sqft,Ready,5,Ready to Move,Unfurnished,North,NA,NA,1.0,0.0,,Freehold,2155 sqft,NA,987 sqft
Property 27,A nice property,88 Lac,8826428,Mumbai,1247 sqft,Ready,Ground,Ready to Move,Unfurnished,North,Main Road,Society 12,4.0,3.0,1.0,Leasehold,2702 sqft,NA,1539 sqft
Property 28,A nice property,50 Lac,5044467,Chennai,4284 sqft,Under Construction,10,Ready to Move,Unfurnished,East,Park,Society 27,5.0,2.0,,Freehold,1851 sqft,NA,1598 sqft
Property 29,A nice property,23 Lac,2310860,Surat,3639 sqft,Ready,5,Under Construction,Semi-Furnished,West,NA,NA,3.0,0.0,3.0,Freehold,4746 sqft,NA,1865 sqft
Property 30,A nice property,52 Lac,5217811,Indore,1357 sqft,Resale,Ground,Ready to Move,Furnished,South,Park,Society 17,,,,Freehold,3278 sqft,NA,NA
Property 31,A nice property,58 Lac,5811448,Jaipur,4987 sqft,Under Construction,Ground,Under Construction,Furnished,West,Park,Society 14,5.0,1.0,,Freehold,5008 sqft,NA,3025 sqft
Property 32,A nice property,84 Lac,8446278,Pune,2160 sqft,Resale,25,Under Construction,Furnished,West,Park,Society 39,2.0,,1.0,Freehold,5160 sqft,NA,NA
Property 33,A nice property,66 Lac,6672402,Kolkata,1022 sqft,Under Construction,Ground,Ready to Move,Furnished,West,Park,Society 42,,1.0,,Freehold,5217 sqft,NA,NA
Property 34,A nice property,34 Lac,3463080,Indore,2799 sqft,Under Construction,10,Ready to Move,Unfurnished,East,NA,NA,1.0,2.0,0.0,Freehold,1452 sqft,NA,3849 sqft
Property 35,A nice property,98 Lac,9879288,Hyderabad,3689 sqft,Resale,4,Under Construction,Furnished,West,NA,Society 34,1.0,3.0,,Freehold,1350 sqft,NA,4906 sqft
Property 36,A nice property,76 Lac,7685513,Delhi,923 sqft,Resale,23,Under Construction,Semi-Furnished,South,Main Road,Society 32,4.0,,2.0,Leasehold,5066 sqft,NA,NA
Property 37,A nice property,32 Lac,3278478,Bhopal,1196 sqft,Under Construction,8,Under Construction,Furnished,East,NA,Society 6,5.0,2.0,1.0,Leasehold,3300 sqft,NA,1872 sqft
Property 38,A nice property,1.4 Cr,13659627,Hyderabad,2141 sqft,Ready,7,Ready to Move,Unfurnished,West,Park,NA,3.0,3.0,1.0,Freehold,5705 sqft,NA,NA
Property 39,A nice property,33 Lac,3339890,Nagpur,2377 sqft,Under Construction,3,Ready to Move,Furnished,East,Park,Society 19,5.0,2.0,1.0,Leasehold,2066 sqft,NA,4928 sqft
Property 40,A nice property,47 Lac,4734756,Nagpur,4527 sqft,Ready,25,Under Construction,Unfurnished,South,Park,Society 43,,,2.0,Freehold,898 sqft,NA,2706 sqft
Property 41,A nice property,43 Lac,4360144,Ludhiana,2311 sqft,Ready,3,Under Construction,Unfurnished,North,Park,NA,3.0,3.0,,Freehold,4095 sqft,NA,3376 sqft
Property 42,A nice property,52 Lac,5299367,Jaipur,3327 sqft,Ready,16,Ready to Move,Semi-Furnished,South,NA,NA,5.0,1.0,2.0,Leasehold,2491 sqft,NA,934 sqft
Property 43,A nice property,1.2 Cr,11648322,Bangalore,3083 sqft,Resale,2,Under Construction,Semi-Furnished,East,NA,Society 14,2.0,3.0,1.0,Leasehold,899 sqft,NA,2381 sqft
Property 44,A nice property,79 Lac,7904446,Chandigarh,725 sqft,Ready,2,Ready to Move,Unfurnished,West,Park,Society 2,1.0,0.0,0.0,Leasehold,2843 sqft,NA,NA
Property 45,A nice property,76 Lac,7640523,Vadodara,2335 sqft,Ready,17,Ready to Move,Semi-Furnished,North,NA,Society 10,5.0,1.0,3.0,Leasehold,1653 sqft,NA,4796 sqft
Property 46,A nice property,86 Lac,8673634,Hyderabad,2156 sqft,Ready,16,Ready to Move,Furnished,West,NA,Society 30,2.0,,2.0,Freehold,3821 sqft,NA,4231 sqft
Property 47,A nice property,61 Lac,6146590,Bhopal,1561 sqft,Under Construction,9,Ready to Move,Unfurnished,East,NA,Society 1,4.0,,,Freehold,3518 sqft,NA,NA
Property 48,A nice property,1.1 Cr,11309229,Delhi,4523 sqft,Under Construction,10,Ready to Move,Furnished,South,NA,NA,2.0,3.0,,Freehold,1767 sqft,NA,4722 sqft
Property 49,A nice property,38 Lac,3866795,Vadodara,2587 sqft,Ready,25,Ready to Move,Semi-Furnished,North,Main Road,Society 37,1.0,0.0,1.0,Freehold,4415 sqft,NA,2650 sqft
Property 50,A nice property,26 Lac,2644848,Lucknow,2275 sqft,Resale,4,Ready to Move,Furnished,South,Park,Society 46,5.0,,2.0,Freehold,2071 sqft,NA,2265 sqft
Property 51,A nice property,56 Lac,5628046,Ludhiana,3849 sqft,Under Construction,Ground,Under Construction,Furnished,South,NA,NA,,0.0,3.0,Freehold,3946 sqft,NA,1298 sqft
Property 52,A nice property,70 Lac,7049190,Nagpur,2560 sqft,Resale,7,Under Construction,Furnished,West,NA,Society 42,2.0,3.0,0.0,Freehold,1432 sqft,NA,NA
Property 53,A nice property,27 Lac,2773785,Ghaziabad,3234 sqft,Ready,12,Under Construction,Unfurnished,East,Main Road,Society 1,4.0,0.0,,Freehold,5232 sqft,NA,719 sqft
Property 54,A nice property,44 Lac,4490533,Kolkata,2918 sqft,Ready,5,Under Construction,Furnished,South,Park,NA,4.0,3.0,1.0,Freehold,5340 sqft,NA,4499 sqft
Property 55,A nice property,1.1 Cr,11217353,Delhi,3718 sqft,Ready,Ground,Ready to Move,Semi-Furnished,South,NA,Society 16,4.0,1.0,3.0,Leasehold,1543 sqft,NA,651 sqft
Property 56,A nice property,1.2 Cr,11937465,Bangalore,4419 sqft,Ready,Ground,Under Construction,Furnished,West,NA,Society 9,1.0,,3.0,Freehold,779 sqft,NA,1725 sqft
Property 57,A nice property,69 Lac,6992627,Ahmedabad,4971 sqft,Ready,Ground,Under Construction,Furnished,North,NA,Society 45,2.0,3.0,2.0,Leasehold,5408 sqft,NA,1206 sqft
Property 58,A nice property,24 Lac,2449274,Lucknow,3543 sqft,Under Construction,6,Under Construction,Unfurnished,North,Park,Society 23,1.0,,1.0,Leasehold,3519 sqft,NA,967 sqft
Property 59,A nice property,84 Lac,8461182,Delhi,3126 sqft,Ready,Ground,Under Construction,Unfurnished,East,NA,Society 45,2.0,2.0,0.0,Freehold,2545 sqft,NA,NA
Property 60,A nice property,52 Lac,5228585,Ahmedabad,2742 sqft,Under Construction,20,Under Construction,Unfurnished,East,Park,Society 17,2.0,3.0,2.0,Leasehold,1493 sqft,NA,NA
Property 61,A nice property,96 Lac,9676184,Hyderabad,3546 sqft,Under Construction,19,Ready to Move,Semi-Furnished,East,Main Road,Society 6,3.0,1.0,3.0,Freehold,1048 sqft,NA,NA
Property 62,A nice property,38 Lac,3890008,Bhopal,4800 sqft,Under Construction,19,Under Construction,Unfurnished,East,Park,Society 29,,1.0,2.0,Freehold,852 sqft,NA,NA
Property 63,A nice property,49 Lac,4977952,Jaipur,4673 sqft,Under Construction,17,Under Construction,Unfurnished,North,Park,Society 50,2.0,1.0,0.0,Freehold,1268 sqft,NA,4011 sqft
Property 64,A nice property,43 Lac,4366738,Chandigarh,4417 sqft,Under Construction,7,Under Construction,Furnished,North,Park,Society 44,1.0,3.0,2.0,Leasehold,4465 sqft,NA,3184 sqft
Property 65,A nice property,33 Lac,3330065,Nagpur,1407 sqft,Under Construction,Ground,Ready to Move,Semi-Furnished,West,Main Road,NA,2.0,,2.0,Freehold,5631 sqft,NA,1784 sqft
Property 66,A nice property,37 Lac,3711474,Chennai,4446 sqft,Resale,25,Ready to Move,Unfurnished,South,Park,Society 26,2.0,2.0,3.0,Leasehold,2181 sqft,NA,2032 sqft
Property 67,A nice property,56 Lac,5699109,Nagpur,3223 sqft,Ready,24,Under Construction,Furnished,South,NA,Society 18,3.0,0.0,,Leasehold,3353 sqft,NA,4661 sqft
Property 68,A nice property,33 Lac,3335526,Nagpur,2264 sqft,Under Construction,7,Under Construction,Unfurnished,South,Main Road,Society 33,1.0,3.0,1.0,Freehold,1227 sqft,NA,1285 sqft
Property 69,A nice property,41 Lac,4144443,Kolkata,3636 sqft,Ready,Ground,Ready to Move,Semi-Furnished,East,Park,Society 8,1.0,0.0,1.0,Leasehold,2547 sqft,NA,2656 sqft
Property 70,A nice property,56 Lac,5665726,Jaipur,3163 sqft,Ready,Ground,Under Construction,Unfurnished,East,NA,Society 46,3.0,0.0,1.0,Freehold,3951 sqft,NA,NA
Property 71,A nice property,1.2 Cr,12115872,Delhi,3990 sqft,Ready,23,Ready to Move,Furnished,West,NA,Society 32,2.0,1.0,1.0,Freehold,5920 sqft,NA,1081 sqft
Property 72,A nice property,57 Lac,5790773,Ludhiana,974 sqft,Under Construction,15,Under Construction,Furnished,South,Park,Society 24,5.0,1.0,2.0,Freehold,2091 sqft,NA,1491 sqft
Property 73,A nice property,52 Lac,5221015,Chennai,2412 sqft,Under Construction,4,Ready to Move,Furnished,West,Main Road,Society 46,3.0,0.0,3.0,Freehold,1978 sqft,NA,1824 sqft
Property 74,A nice property,30 Lac,3054303,Vadodara,1795 sqft,Ready,12,Under Construction,Unfurnished,North,Park,Society 10,1.0,3.0,1.0,Leasehold,2297 sqft,NA,3262 sqft
Property 75,A nice property,34 Lac,3403948,Ahmedabad,732 sqft,Resale,Ground,Ready to Move,Unfurnished,West,Main Road,Society 9,3.0,3.0,0.0,Freehold,5150 sqft,NA,NA
Property 76,A nice property,54 Lac,5433825,Chennai,2736 sqft,Under Construction,17,Under Construction,Semi-Furnished,East,Main Road,Society 3,3.0,1.0,2.0,Freehold,847 sqft,NA,4462 sqft
Property 77,A nice property,78 Lac,7854898,Chandigarh,4020 sqft,Ready,4,Ready to Move,Unfurnished,West,Park,Society 30,,1.0,1.0,Leasehold,1315 sqft,NA,2609 sqft
Property 78,A nice property,60 Lac,6041936,Bhopal,3018 sqft,Ready,11,Under Construction,Furnished,North,Park,Society 40,4.0,2.0,1.0,Freehold,2463 sqft,NA,861 sqft
Property 79,A nice property,52 Lac,5270219,Jaipur,1848 sqft,Under Construction,4,Under Construction,Unfurnished,East,Main Road,Society 27,1.0,0.0,2.0,Freehold,4376 sqft,NA,1927 sqft
Property 80,A nice property,26 Lac,2619712,Vadodara,2207 sqft,Under Construction,16,Under Construction,Semi-Furnished,East,Park,Society 5,5.0,3.0,3.0,Freehold,962 sqft,NA,4733 sqft
Property 81,A nice property,61 Lac,6135674,Ahmedabad,3302 sqft,Ready,23,Ready to Move,Unfurnished,North,NA,NA,1.0,2.0,0.0,Leasehold,2146 sqft,NA,NA
Property 82,A nice property,45 Lac,4551244,Indore,2484 sqft,Ready,24,Ready to Move,Unfurnished,West,Main Road,Society 37,4.0,1.0,,Freehold,944 sqft,NA,4924 sqft
Property 83,A nice property,1.7 Cr,16804797,Bangalore,3711 sqft,Resale,11,Under Construction,Furnished,North,Main Road,Society 43,1.0,2.0,,Leasehold,5334 sqft,NA,NA
Property 84,A nice property,56 Lac,5692793,Ahmedabad,2613 sqft,Ready,13,Ready to Move,Semi-Furnished,West,Park,Society 9,5.0,2.0,3.0,Freehold,5287 sqft,NA,NA
Property 85,A nice property,1.6 Cr,15865677,Bangalore,4690 sqft,Under Construction,20,Under Construction,Unfurnished,West,Park,Society 17,3.0,0.0,,Freehold,1445 sqft,NA,2018 sqft
Property 86,A nice property,20 Lac,2099552,Indore,3365 sqft,Under Construction,22,Under Construction,Semi-Furnished,West,Park,NA,2.0,0.0,,Freehold,5588 sqft,NA,NA
Property 87,A nice property,43 Lac,4327793,Bhopal,2708 sqft,Ready,Ground,Ready to Move,Unfurnished,South,Main Road,Society 12,5.0,3.0,3.0,Leasehold,3253 sqft,NA,NA
Property 88,A nice property,49 Lac,4983505,Jaipur,4602 sqft,Resale,18,Ready to Move,Semi-Furnished,East,NA,NA,2.0,1.0,,Leasehold,740 sqft,NA,684 sqft
Property 89,A nice property,1.8 Cr,17609828,Delhi,4618 sqft,Ready,14,Ready to Move,Semi-Furnished,South,Main Road,Society 40,3.0,1.0,3.0,Leasehold,1312 sqft,NA,669 sqft
Property 90,A nice property,48 Lac,4812989,Kolkata,4375 sqft,Ready,3,Under Construction,Unfurnished,West,Main Road,NA,2.0,1.0,3.0,Freehold,2971 sqft,NA,4577 sqft
Property 91,A nice property,33 Lac,3393561,Ghaziabad,1978 sqft,Under Construction,Ground,Under Construction,Unfurnished,East,NA,Society 26,3.0,1.0,1.0,Freehold,3879 sqft,NA,2222 sqft
Property 92,A nice property,31 Lac,3198039,Indore,3485 sqft,Resale,Ground,Under Construction,Unfurnished,East,Main Road,NA,5.0,3.0,2.0,Freehold,5747 sqft,NA,NA
Property 93,A nice property,44 Lac,4468309,Kolkata,1986 sqft,Ready,Ground,Ready to Move,Furnished,North,Park,Society 37,,1.0,2.0,Leasehold,3874 sqft,NA,3136 sqft
Property 94,A nice property,34 Lac,3431931,Visakhapatnam,1746 sqft,Resale,1,Under Construction,Unfurnished,South,Park,Society 12,2.0,,1.0,Leasehold,1374 sqft,NA,1703 sqft
Property 95,A nice property,78 Lac,7805621,Bhopal,4600 sqft,Resale,Ground,Under Construction,Furnished,East,NA,NA,1.0,0.0,2.0,Leasehold,2635 sqft,NA,1555 sqft
Property 96,A nice property,23 Lac,2362683,Chandigarh,2107 sqft,Ready,4,Under Construction,Furnished,West,NA,Society 40,1.0,,,Freehold,4001 sqft,NA,3560 sqft
Property 97,A nice property,95 Lac,9540161,Pune,1081 sqft,Under Construction,17,Ready to Move,Semi-Furnished,East,Main Road,Society 39,,3.0,2.0,Freehold,993 sqft,NA,NA
Property 98,A nice property,70 Lac,7011117,Jaipur,4892 sqft,Under Construction,3,Under Construction,Semi-Furnished,North,NA,Society 10,4.0,2.0,0.0,Freehold,4512 sqft,NA,700 sqft
Property 99,A nice property,1.1 Cr,10660068,Pune,877 sqft,Resale,13,Under Construction,Furnished,South,Park,Society 48,3.0,3.0,2.0,Freehold,4757 sqft,NA,NA
Property 100,A nice property,41 Lac,4187114,Ahmedabad,1208 sqft,Under Construction,19,Under Construction,Furnished,North,Main Road,Society 47,5.0,2.0,1.0,Freehold,1870 sqft,NA,3976 sqft
Property 101,A nice property,32 Lac,3235810,Vadodara,997 sqft,Under Construction,Ground,Ready to Move,Furnished,South,Park,Society 14,2.0,3.0,1.0,Leasehold,4721 sqft,NA,NA
Property 102,A nice property,50 Lac,5072083,Vadodara,652 sqft,Ready,6,Under Construction,Furnished,West,Main Road,Society 36,,2.0,1.0,Freehold,1983 sqft,NA,NA
Property 103,A nice property,44 Lac,4424094,Jaipur,3978 sqft,Resale,7,Ready to Move,Semi-Furnished,South,Park,Society 26,2.0,,0.0,Leasehold,997 sqft,NA,3280 sqft
Property 104,A nice property,70 Lac,7069138,Ghaziabad,1726 sqft,Resale,20,Under Construction,Unfurnished,West,Main Road,Society 30,4.0,0.0,1.0,Leasehold,5883 sqft,NA,1411 sqft
Property 105,A nice property,57 Lac,5773992,Surat,2495 sqft,Ready,Ground,Under Construction,Furnished,North,Main Road,Society 29,4.0,,3.0,Leasehold,3012 sqft,NA,2229 sqft
Property 106,A nice property,64 Lac,6466103,Ghaziabad,1156 sqft,Resale,8,Under Construction,Furnished,West,NA,Society 24,2.0,0.0,1.0,Freehold,3685 sqft,NA,1748 sqft
Property 107,A nice property,24 Lac,2441230,Bhopal,1837 sqft,Resale,Ground,Ready to Move,Semi-Furnished,North,Park,Society 28,2.0,2.0,1.0,Leasehold,1097 sqft,NA,2033 sqft
Property 108,A nice property,51 Lac,5149429,Nagpur,674 sqft,Resale,9,Ready to Move,Semi-Furnished,North,Main Road,NA,4.0,3.0,3.0,Leasehold,5380 sqft,NA,2838 sqft
Property 109,A nice property,42 Lac,4280140,Ahmedabad,2391 sqft,Ready,25,Ready to Move,Furnished,East,NA,NA,,0.0,1.0,Leasehold,5217 sqft,NA,NA
Property 110,A nice property,73 Lac,7348886,Pune,4742 sqft,Under Construction,9,Ready to Move,Unfurnished,West,Park,Society 12,1.0,,0.0,Leasehold,758 sqft,NA,538 sqft
Property 111,A nice property,60 Lac,6045712,Kochi,4335 sqft,Under Construction,21,Ready to Move,Semi-Furnished,North,NA,NA,5.0,2.0,,Freehold,4254 sqft,NA,3325 sqft
Property 112,A nice property,26 Lac,2697148,Visakhapatnam,3657 sqft,Resale,Ground,Ready to Move,Semi-Furnished,East,NA,Society 17,2.0,,1.0,Leasehold,2376 sqft,NA,825 sqft
Property 113,A nice property,1.5 Cr,15358006,Delhi,1095 sqft,Under Construction,22,Ready to Move,Semi-Furnished,North,Main Road,Society 16,1.0,,,Leasehold,3574 sqft,NA,4173 sqft
Property 114,A nice property,1.7 Cr,16989056,Bangalore,4558 sqft,Ready,13,Under Construction,Semi-Furnished,West,Park,NA,2.0,2.0,0.0,Freehold,2573 sqft,NA,NA
Property 115,A nice property,1.1 Cr,10680009,Hyderabad,4596 sqft,Under Construction,Ground,Under Construction,Unfurnished,South,Main Road,Society 34,3.0,0.0,0.0,Freehold,2674 sqft,NA,2706 sqft
Property 116,A nice property,41 Lac,4171116,Pune,728 sqft,Ready,5,Under Construction,Semi-Furnished,East,Park,Society 49,2.0,1.0,2.0,Leasehold,2394 sqft,NA,NA
Property 117,A nice property,78 Lac,7826761,Chennai,654 sqft,Resale,4,Ready to Move,Semi-Furnished,North,Main Road,Society 10,4.0,2.0,,Freehold,3668 sqft,NA,3445 sqft
Property 118,A nice property,74 Lac,7425828,Surat,4959 sqft,Ready,16,Ready to Move,Furnished,South,Park,Society 26,2.0,3.0,,Leasehold,923 sqft,NA,NA
Property 119,A nice property,35 Lac,3585818,Ludhiana,3969 sqft,Ready,21,Ready to Move,Unfurnished,West,Main Road,NA,2.0,0.0,,Leasehold,1617 sqft,NA,4469 sqft
Property 120,A nice property,98 Lac,9866241,Delhi,697 sqft,Ready,Ground,Ready to Move,Furnished,East,Main Road,NA,2.0,3.0,2.0,Freehold,3995 sqft,NA,NA
Property 121,A nice property,62 Lac,6291416,Bhopal,737 sqft,Resale,24,Under Construction,Furnished,South,Park,NA,3.0,,,Freehold,2235 sqft,NA,NA
Property 122,A nice property,72 Lac,7220787,Bhopal,4936 sqft,Under Construction,3,Under Construction,Semi-Furnished,South,Main Road,Society 42,5.0,0.0,,Leasehold,4150 sqft,NA,4468 sqft
Property 123,A nice property,60 Lac,6075342,Ludhiana,2850 sqft,Under Construction,1,Ready to Move,Unfurnished,North,NA,Society 45,2.0,3.0,,Freehold,1781 sqft,NA,3664 sqft
Property 124,A nice property,38 Lac,3863232,Chandigarh,4988 sqft,Ready,Ground,Ready to Move,Furnished,West,NA,Society 26,4.0,,3.0,Freehold,3366 sqft,NA,945 sqft
Property 125,A nice property,25 Lac,2579609,Kochi,2948 sqft,Ready,22,Under Construction,Semi-Furnished,North,Main Road,NA,5.0,1.0,1.0,Freehold,1258 sqft,NA,NA
Property 126,A nice property,29 Lac,2910391,Jaipur,740 sqft,Under Construction,10,Ready to Move,Unfurnished,East,NA,Society 48,5.0,0.0,2.0,Freehold,992 sqft,NA,3230 sqft
Property 127,A nice property,55 Lac,5591991,Vadodara,4714 sqft,Resale,4,Ready to Move,Furnished,South,Park,Society 20,1.0,2.0,1.0,Freehold,3258 sqft,NA,4895 sqft
Property 128,A nice property,95 Lac,9556502,Mumbai,4127 sqft,Ready,22,Ready to Move,Furnished,West,NA,Society 43,3.0,2.0,,Leasehold,5420 sqft,NA,1274 sqft
Property 129,A nice property,60 Lac,6061272,Hyderabad,2068 sqft,Under Construction,25,Under Construction,Unfurnished,North,Park,Society 3,2.0,2.0,1.0,Freehold,2929 sqft,NA,NA
Property 130,A nice property,49 Lac,4919044,Vadodara,1476 sqft,Ready,15,Under Construction,Unfurnished,North,NA,Society 47,5.0,1.0,3.0,Freehold,3795 sqft,NA,802 sqft
Property 131,A nice property,51 Lac,5188306,Jaipur,1389 sqft,Ready,22,Ready to Move,Furnished,South,Main Road,Society 5,5.0,1.0,0.0,Leasehold,1679 sqft,NA,NA
Property 132,A nice property,48 Lac,4879161,Indore,4895 sqft,Ready,17,Ready to Move,Unfurnished,East,Main Road,Society 8,5.0,2.0,1.0,Leasehold,4675 sqft,NA,NA
Property 133,A nice property,79 Lac,7935125,Hyderabad,1819 sqft,Resale,11,Under Construction,Unfurnished,South,NA,NA,1.0,1.0,0.0,Leasehold,2700 sqft,NA,4269 sqft
Property 134,A nice property,67 Lac,6749233,Lucknow,2574 sqft,Resale,Ground,Ready to Move,Unfurnished,East,NA,Society 37,2.0,0.0,1.0,Freehold,990 sqft,NA,1159 sqft
Property 135,A nice property,70 Lac,7058180,Surat,2172 sqft,Under Construction,1,Under Construction,Semi-Furnished,East,Main Road,Society 10,1.0,0.0,,Leasehold,3675 sqft,NA,2663 sqft
Property 136,A nice property,51 Lac,5108157,Chennai,4912 sqft,Resale,Ground,Under Construction,Unfurnished,West,Park,Society 35,3.0,2.0,3.0,Leasehold,1311 sqft,NA,NA
Property 137,A nice property,35 Lac,3552974,Chandigarh,2667 sqft,Resale,14,Ready to Move,Unfurnished,South,Main Road,Society 3,5.0,2.0,3.0,Leasehold,3468 sqft,NA,1761 sqft
Property 138,A nice property,1.1 Cr,11084473,Mumbai,3503 sqft,Ready,Ground,Ready to Move,Furnished,West,Main Road,Society 35,5.0,2.0,0.0,Freehold,1523 sqft,NA,626 sqft
Property 139,A nice property,28 Lac,2804196,Jaipur,2789 sqft,Under Construction,15,Ready to Move,Semi-Furnished,South,NA,Society 21,3.0,2.0,,Leasehold,2395 sqft,NA,4405 sqft
Property 140,A nice property,73 Lac,7361845,Kochi,3851 sqft,Ready,13,Under Construction,Unfurnished,South,NA,Society 25,4.0,3.0,,Freehold,2513 sqft,NA,NA
Property 141,A nice property,77 Lac,7719779,Chennai,1247 sqft,Ready,2,Under Construction,Furnished,East,Main Road,Society 48,1.0,,,Leasehold,1728 sqft,NA,2259 sqft
Property 142,A nice property,46 Lac,4667147,Kochi,3656 sqft,Ready,18,Under Construction,Semi-Furnished,North,Main Road,Society 45,4.0,0.0,0.0,Leasehold,940 sqft,NA,NA
Property 143,A nice property,86 Lac,8696936,Hyderabad,3926 sqft,Under Construction,25,Under Construction,Furnished,East,Park,NA,5.0,0.0,3.0,Leasehold,5547 sqft,NA,NA
